Account Number,Account Name,Type,Detail Type,Description
22505,Due To Corp:Quincy,Other Current Liabilities,Other Current Liabilities,Quincy owes corporate family
22506,Due To Corp:Vic,Other Current Liabilities,Other Current Liabilities,Vic owes corporate family
22507,Due To Corp:Summa Elite,Other Current Liabilities,Other Current Liabilities,Summa Elite owes corporate family
22508,Due To Corp:Ventura,Other Current Liabilities,Other Current Liabilities,Ventura owes corporate family
22509,Due To Corp:Freeman,Other Current Liabilities,Other Current Liabilities,Freeman owes corporate family
22510,Due To Corp:Carlo,Other Current Liabilities,Other Current Liabilities,Carlo owes corporate family
22511,Due To Corp:Ledges,Other Current Liabilities,Other Current Liabilities,Ledges owes corporate family
22512,Due To Corp:RM Texas,Other Current Liabilities,Other Current Liabilities,RM Texas owes corporate family
22513,Due To Corp:Elephant Rock,Other Current Liabilities,Other Current Liabilities,Elephant Rock owes corporate family
22514,Due To Corp:EJH,Other Current Liabilities,Other Current Liabilities,EJH owes corporate family
22515,Due To Corp:Dominus,Other Current Liabilities,Other Current Liabilities,Dominus owes corporate family
22516,Due To Corp:Rock Creek Acq,Other Current Liabilities,Other Current Liabilities,Rock Creek Acq owes corporate family
22517,Due To Corp:Camden,Other Current Liabilities,Other Current Liabilities,Camden owes corporate family
22518,Due To Corp:Ensign,Other Current Liabilities,Other Current Liabilities,Ensign owes corporate family
23000,Draw Liability / Unearned Draw,Other Current Liabilities,Other Current Liabilities,Draws received not yet costed
30100,Partner Capital,Equity,Partner's Equity,Parent - subs per entity per OAEA allocation map
30101,Partner Capital:12SB-Lykos,Equity,Partner's Equity,12SB capital - Lykos Acquisitions
30111,Partner Capital:12SB-Aubrey,Equity,Partner's Equity,12SB capital - Aubrey
30102,Partner Capital:HLN-Providence,Equity,Partner's Equity,HLN capital - Providence Partners
30103,Partner Capital:Union-Lazarus,Equity,Partner's Equity,Union capital - Lazarus Investments
30113,Partner Capital:Union-STV,Equity,Partner's Equity,Union capital - Summa Terra Ventures LLC
30123,Partner Capital:Union-Outside,Equity,Partner's Equity,Union capital - outside partner (Nick)
30104,Partner Capital:Madison-Lykos,Equity,Partner's Equity,Madison capital - Lykos
30114,Partner Capital:Madison-AW1,Equity,Partner's Equity,Madison - AW1 1% per 7-2-26 OAEA
30124,Partner Capital:Madison-Lazarus,Equity,Partner's Equity,Madison - Lazarus 4.07% per 7-2-26 OAEA
30134,Partner Capital:Madison-Outside,Equity,Partner's Equity,Madison - 8 outside lines per Exhibit A (Lykos 73.55% = Executive)
30105,Partner Capital:Quincy-STDG,Equity,Partner's Equity,Quincy capital - STDG
30115,Partner Capital:Quincy-Lazarus,Equity,Partner's Equity,Quincy capital - Lazarus
30125,Partner Capital:Quincy-Outside,Equity,Partner's Equity,Quincy capital - Adam Lee / Greg Guymon
30106,Partner Capital:Vic-Exult,Equity,Partner's Equity,Vic capital - Exult Assets
30116,Partner Capital:Vic-Orion,Equity,Partner's Equity,Vic capital - Orion Investing
30126,Partner Capital:Vic-Charis,Equity,Partner's Equity,Vic capital - Charis Acquisitions
30107,Partner Capital:SummaElite-Providence,Equity,Partner's Equity,Summa Elite - Providence 42.165% (Executive Member per 7-2-26 OAEA)
30117,Partner Capital:SummaElite-STV,Equity,Partner's Equity,Summa Elite - STV LLC 1.039% per 7-2-26 OAEA
30127,Partner Capital:SummaElite-ElephRock,Equity,Partner's Equity,Summa Elite - Elephant Rock LLC 1.615% (INTERCOMPANY equity)
30137,Partner Capital:SummaElite-Outside,Equity,Partner's Equity,Summa Elite - DM Capital 42.165% + ~35 outside lines per Exhibit A
30108,Partner Capital:Ventura-STDG,Equity,Partner's Equity,Ventura capital - STDG
30109,Partner Capital:Freeman-Providence,Equity,Partner's Equity,Freeman capital - Providence
30130,Partner Capital:Carlo-AW1,Equity,Partner's Equity,Carlo - AW1 50% per OAEA ledger
30140,Partner Capital:Carlo-Hendricks,Equity,Partner's Equity,Carlo - Erin Hendricks 50%
30131,Partner Capital:Ledges-Providence,Equity,Partner's Equity,Ledges capital - Providence
30141,Partner Capital:Ledges-Aubrey,Equity,Partner's Equity,Ledges capital - Aubrey (12% direct)
30132,Partner Capital:RMTexas-Lazarus,Equity,Partner's Equity,RM Texas capital - Lazarus
30142,Partner Capital:RMTexas-Aubrey,Equity,Partner's Equity,RM Texas capital - Aubrey (0.42% direct)
30133,Partner Capital:ElephantRock-Providence,Equity,Partner's Equity,Elephant Rock capital - Providence
30134,Partner Capital:EJH-TBD,Equity,Partner's Equity,EJH capital - partners TBD (confirm OA)
30135,Partner Capital:Dominus-Aubrey,Equity,Partner's Equity,Dominus capital - Aubrey (70% direct)
30145,Partner Capital:Dominus-Outside,Equity,Partner's Equity,Dominus capital - outside partners (30%)
30146,Partner Capital:RockCreekAcq-AW1,Equity,Partner's Equity,Rock Creek Acq - AW1 25% (25 votes)
30156,Partner Capital:RockCreekAcq-Outside,Equity,Partner's Equity,Rock Creek Acq - QC Denton 50% + DWM Holdings 25%
30147,Partner Capital:Camden-Lazarus,Equity,Partner's Equity,Camden Crossing - Lazarus line per ledger
30157,Partner Capital:Camden-Outside,Equity,Partner's Equity,Camden Crossing - outside per Exhibit A
30148,Partner Capital:Ensign-Lazarus,Equity,Partner's Equity,"Ensign - Lazarus $924,890.12 per ledger - verify Exhibit A"
30158,Partner Capital:Ensign-Outside,Equity,Partner's Equity,Ensign - outside per 7-2-26 Exhibit A
30300,Distributions,Equity,Partner Distributions,Capital out - class = entity
40100,Sale Proceeds,Income,Service/Fee Income,Lot/unit/property sales
40900,Other / Rental Income,Income,Service/Fee Income,Interim rental
50100,Cost of Real Estate Sold,Cost of Goods Sold,Other Costs of Services - COS,CIP relieved at sale
50200,Closing Costs - Sale,Cost of Goods Sold,Other Costs of Services - COS,Selling costs / sale commissions
60100,Developer Fee Expense,Expenses,Other Miscellaneous Service Cost,5% if expensed not capitalized - never 12SB / Summa Elite
70300,Professional Fees (CPA/Legal),Expenses,Other Miscellaneous Service Cost,Outside services
70400,Insurance,Expenses,Other Miscellaneous Service Cost,Class to owning entity
70500,Property Taxes,Expenses,Other Miscellaneous Service Cost,Carry cost
70600,Interest Expense,Expenses,Other Miscellaneous Service Cost,Loan interest (if expensed)
70700,Marketing,Expenses,Other Miscellaneous Service Cost,Project marketing
29900,OB Suspense - Flagged,Other Current Liabilities,Other Current Liabilities,Opening-balance holes from flagged items - MUST read 0.00 in every class before go-live
80100,Other Income / Expense,Other Income,Other Miscellaneous Income,Non-operating
